Type,Title,Slug,URL,Quality Score,Word Count,Has Images,Has Video,Internal Links,External Links,Meta Description,Meta Description Length,Genres,Countries,Categories,Tags,Last Modified,Content Preview
blog,"",real-movie-mansions,https://wherewasitfilmed.co/blog/real-movie-mansions,65,1735,Yes,No,7,0,"",0,"","","","",2025-05-24T19:54:10.636Z,""
blog,"",movies-filmed-in-real-locations,https://wherewasitfilmed.co/blog/movies-filmed-in-real-locations,65,2586,Yes,No,2,1,"",0,"","","","",2025-05-24T19:54:10.636Z,""
blog,"TV Shows Filmed in Ireland: The Emerald Screen",tv-shows-filmed-in-ireland,https://wherewasitfilmed.co/blog/tv-shows-filmed-in-ireland,65,1433,Yes,No,3,1,"Discover stunning filming locations across Ireland used in popular shows like Game of Thrones, Vikings, and Normal People. Experience the Emerald Isle through your favorite TV series!",183,"","","TV Locations; Ireland; Travel Guides","",2025-05-24T19:54:10.637Z,"Discover stunning filming locations across Ireland used in popular shows like Game of Thrones, Vikings, and Normal People. Experience the Emerald Isle through your favorite TV series!"
blog,"Famous Movie Car Chase Locations You Can Actually Visit",famous-movie-car-chase-locations,https://wherewasitfilmed.co/blog/famous-movie-car-chase-locations,65,681,Yes,No,3,0,"Explore iconic film locations where legendary car chases were filmed, from San Francisco's steep hills to the streets of Paris.",127,"","","Filming Locations; Action Movies; Travel","",2025-05-24T19:54:10.637Z,"Explore iconic film locations where legendary car chases were filmed, from San Francisco's steep hills to the streets of Paris."
blog,"Using the Auto-Image Feature for Film Locations",using-auto-image-feature,https://wherewasitfilmed.co/blog/using-auto-image-feature,65,415,Yes,No,0,0,"Learn how to use the new auto-image feature to automatically fetch location images for your film content.",105,"","","Tutorial; Features","auto-image; serpapi; location-images; content-creation",2025-05-24T19:54:10.637Z,"Learn how to use the new auto-image feature to automatically fetch location images for your film content."
film,"Where Was Stranger Things Filmed?",where-was-stranger-things-filmed,https://wherewasitfilmed.co/film/where-was-stranger-things-filmed,60,505,Yes,No,0,0,"Explore the real filming locations of Netflix's hit series Stranger Things in Georgia, including the fictional town of Hawkins, Indiana.",136,"","","","",2025-05-24T19:54:10.626Z,"Explore the real filming locations of Netflix's hit series Stranger Things in Georgia, including the fictional town of Hawkins, Indiana."
film,"Where Was Deadpool & Wolverine Filmed? Explore TVA Sets, Dogpool Beach & More",where-was-deadpool-and-wolverine-filmed,https://wherewasitfilmed.co/film/where-was-deadpool-and-wolverine-filmed,60,541,Yes,No,5,4,"Discover the real-world filming locations of *Deadpool & Wolverine*, from the TVA’s headquarters in Hertfordshire to the sandy shores of Holkham Beach. Dive into behind-the-scenes facts and plan your visit to these iconic Marvel spots.",235,"","","","",2025-05-24T19:54:10.626Z,"Discover the real-world filming locations of *Deadpool & Wolverine*, from the TVA’s headquarters in Hertfordshire to the sandy shores of Holkham Beach. Dive into behind-the-scenes facts and plan your ..."
film,"Where Was Spider-Man: No Way Home Filmed? NYC Landmarks, Multiverse Sets & More",where-was-spider-man-no-way-home-filmed,https://wherewasitfilmed.co/film/where-was-spider-man-no-way-home-filmed,60,601,Yes,No,3,5,"Explore the real-world filming locations of *Spider-Man: No Way Home*, from iconic New York City landmarks to Atlanta's sound stages. Discover behind-the-scenes insights and plan your visit to these cinematic spots.",215,"","","","",2025-05-24T19:54:10.626Z,"Explore the real-world filming locations of *Spider-Man: No Way Home*, from iconic New York City landmarks to Atlanta's sound stages. Discover behind-the-scenes insights and plan your visit to these c..."
film,"Where Was The Batman (2022) Filmed? Explore Gotham's Real-World Locations",where-was-the-batman-2022-filmed,https://wherewasitfilmed.co/film/where-was-the-batman-2022-filmed,60,776,Yes,No,3,6,"Discover the real-world filming locations of *The Batman* (2022), from the gothic architecture of Liverpool and London to the urban landscapes of Glasgow and Chicago. Dive into behind-the-scenes insights and plan your visit to these cinematic spots.",249,"","","","",2025-05-24T19:54:10.627Z,"Discover the real-world filming locations of *The Batman* (2022), from the gothic architecture of Liverpool and London to the urban landscapes of Glasgow and Chicago. Dive into behind-the-scenes insig..."
film,"Where Was Final Destination: Bloodlines Filmed?",where-was-final-destination-bloodlines-filmed,https://wherewasitfilmed.co/film/where-was-final-destination-bloodlines-filmed,60,827,Yes,No,3,3,"Discover the chilling real-world filming locations of Final Destination: Bloodlines, from Vancouver's eerie landmarks to the suspenseful settings of Surrey. Explore behind-the-scenes facts and plan your visit to every filming site used in this thrilling horror sequel.",268,"","","","",2025-05-24T19:54:10.627Z,"Discover the chilling real-world filming locations of Final Destination: Bloodlines, from Vancouver's eerie landmarks to the suspenseful settings of Surrey. Explore behind-the-scenes facts and plan yo..."
film,"Where Was Film Nonna's Filmed?",where-was-film-nonnas-filmed-veneto,https://wherewasitfilmed.co/film/where-was-film-nonnas-filmed-veneto,55,967,Yes,No,0,0,"Discover the charming filming locations of ""Film Nonna's"" in the Veneto region of Italy, from the vineyard-laden countryside to the historic streets of Verona and Venice.",170,"","","","",2025-05-24T19:54:10.628Z,"Discover the charming filming locations of ""Film Nonna's"" in the Veneto region of Italy, from the vineyard-laden countryside to the historic streets of Verona and Venice."
series,"Where Was Gen V Filmed?",gen-v,https://wherewasitfilmed.co/series/gen-v,55,239,Yes,No,0,0,"Explore the real-world filming locations of Gen V, from the fictional world of Godolkin University to sprawling cityscapes and unique sites.",140,"Action; Drama; Fantasy","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Gen V, from the fictional world of Godolkin University to sprawling cityscapes and unique sites."
series,"Where Was Secret Invasion Filmed?",secret-invasion,https://wherewasitfilmed.co/series/secret-invasion,55,258,Yes,No,0,0,"Explore the real-world filming locations of Secret Invasion, from the dangerous depths of espionage to stunning actual filming locations.",137,"Action; Adventure; Drama","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Secret Invasion, from the dangerous depths of espionage to stunning actual filming locations."
series,"Where Was The Night Agent Filmed?",the-night-agent,https://wherewasitfilmed.co/series/the-night-agent,55,260,Yes,No,0,0,"Explore the real-world filming locations of The Night Agent, from Washington, D.C. to various stunning sites across Canada.",123,"Action; Drama; Thriller","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of The Night Agent, from Washington, D.C. to various stunning sites across Canada."
series,"Where Was Andor Filmed?",andor,https://wherewasitfilmed.co/series/andor,55,268,Yes,No,0,0,"Explore the real-world filming locations of Andor, from the vibrant streets of Ferrix to the dramatic landscapes of Scotland.",125,"Action; Adventure; Science Fiction","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Andor, from the vibrant streets of Ferrix to the dramatic landscapes of Scotland."
series,"Where Was Obi-Wan Kenobi Filmed?",obi-wan-kenobi,https://wherewasitfilmed.co/series/obi-wan-kenobi,55,236,Yes,No,0,0,"Explore the real-world filming locations of Obi-Wan Kenobi, from the deserts of Tatooine to the stunning landscapes of Spain.",125,"Action; Adventure; Fantasy","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Obi-Wan Kenobi, from the deserts of Tatooine to the stunning landscapes of Spain."
series,"Where Was Reacher Filmed?",reacher,https://wherewasitfilmed.co/series/reacher,55,226,Yes,No,0,0,"Explore the real-world filming locations of Reacher, from the fictional setting of Jack Reacher’s adventures to authentic filming spots across North America.",157,"Action; Thriller; Drama","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Reacher, from the fictional setting of Jack Reacher’s adventures to authentic filming spots across North America."
series,"Where Was Severance Filmed?",severance,https://wherewasitfilmed.co/series/severance,55,270,Yes,No,0,0,"Explore the real-world filming locations of Severance, from the enigmatic Lumon Industries to the actual filming locations.",123,"Drama; Thriller; Sci-Fi","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Severance, from the enigmatic Lumon Industries to the actual filming locations."
series,"Where Was The Bear Filmed?",the-bear,https://wherewasitfilmed.co/series/the-bear,55,252,Yes,No,0,0,"Explore the real-world filming locations of The Bear, from the hustle of Chicago's kitchens to iconic spots across the city.",124,"Drama; Comedy; Food","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of The Bear, from the hustle of Chicago's kitchens to iconic spots across the city."
series,"Where Was Vikings: Valhalla Filmed?",vikings-valhalla,https://wherewasitfilmed.co/series/vikings-valhalla,55,261,Yes,No,0,0,"Explore the real-world filming locations of Vikings: Valhalla, from the Viking epic to the stunning landscapes of Ireland.",122,"Action; Drama; History","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Vikings: Valhalla, from the Viking epic to the stunning landscapes of Ireland."
series,"Where Was 1883 Filmed?",1883,https://wherewasitfilmed.co/series/1883,55,257,Yes,No,0,0,"Explore the real-world filming locations of 1883, from the American West to stunning landscapes across the United States.",121,"Drama; Western; History","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of 1883, from the American West to stunning landscapes across the United States."
series,"Where Was Dexter: New Blood Filmed?",dexter-new-blood,https://wherewasitfilmed.co/series/dexter-new-blood,55,289,Yes,No,0,0,"Explore the real-world filming locations of Dexter: New Blood, from the fictional town of Iron Lake to the actual stunning locations across New York.",149,"Crime; Drama; Thriller","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of Dexter: New Blood, from the fictional town of Iron Lake to the actual stunning locations across New York."
series,"Where Was The Book of Boba Fett Filmed?",the-book-of-boba-fett,https://wherewasitfilmed.co/series/the-book-of-boba-fett,55,259,Yes,No,0,0,"Explore the real-world filming locations of The Book of Boba Fett, from Tatooine to the stunning deserts of the American Southwest.",131,"Action; Adventure; Science Fiction","","","",2025-05-24T19:54:10.633Z,"Explore the real-world filming locations of The Book of Boba Fett, from Tatooine to the stunning deserts of the American Southwest."
series,"Where Was Yellowjackets Filmed?",yellowjackets,https://wherewasitfilmed.co/series/yellowjackets,55,244,Yes,No,0,0,"Explore the real-world filming locations of Yellowjackets, from a remote wilderness to stunning landscapes across the Pacific Northwest.",136,"Drama; Thriller; Mystery","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Yellowjackets, from a remote wilderness to stunning landscapes across the Pacific Northwest."
series,"Where Was Designated Survivor Filmed?",designated-survivor,https://wherewasitfilmed.co/series/designated-survivor,55,276,Yes,No,0,0,"Explore the real-world filming locations of Designated Survivor, from the fictional White House to the actual filming locations across Toronto.",143,"Drama; Thriller; Political","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Designated Survivor, from the fictional White House to the actual filming locations across Toronto."
series,"Where Was Doom Patrol Filmed?",doom-patrol,https://wherewasitfilmed.co/series/doom-patrol,55,267,Yes,No,0,0,"Explore the real-world filming locations of Doom Patrol, from its quirky fictional universe to actual filming locations across the U.S.",135,"Action; Comedy; Drama","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Doom Patrol, from its quirky fictional universe to actual filming locations across the U.S."
series,"Where Was Fear the Walking Dead Filmed?",fear-the-walking-dead,https://wherewasitfilmed.co/series/fear-the-walking-dead,55,265,Yes,No,0,0,"Explore the real-world filming locations of Fear the Walking Dead, from the apocalypse-ridden landscapes to stunning backdrops across the West.",143,"Drama; Horror; Thriller","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Fear the Walking Dead, from the apocalypse-ridden landscapes to stunning backdrops across the West."
series,"Where Was Legends of Tomorrow Filmed?",legends-of-tomorrow,https://wherewasitfilmed.co/series/legends-of-tomorrow,55,232,Yes,No,0,0,"Explore the real-world filming locations of Legends of Tomorrow, from the time-traveling adventures to stunning landscapes across North America.",144,"Action; Adventure; Sci-Fi","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Legends of Tomorrow, from the time-traveling adventures to stunning landscapes across North America."
series,"Where Was Outer Banks Filmed?",outer-banks,https://wherewasitfilmed.co/series/outer-banks,55,316,Yes,No,0,0,"Explore the real-world filming locations of Outer Banks, from the picturesque shores of the Outer Banks to the stunning landscapes of North Carolina.",149,"Adventure; Drama; Mystery","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Outer Banks, from the picturesque shores of the Outer Banks to the stunning landscapes of North Carolina."
series,"Where Was Shadow and Bone Filmed?",shadow-and-bone,https://wherewasitfilmed.co/series/shadow-and-bone,55,260,Yes,No,0,0,"Explore the real-world filming locations of Shadow and Bone, from the Grishaverse to the stunning landscapes of Hungary.",120,"Fantasy; Adventure; Drama","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Shadow and Bone, from the Grishaverse to the stunning landscapes of Hungary."
series,"Where Was Stargirl Filmed?",stargirl,https://wherewasitfilmed.co/series/stargirl,55,245,Yes,No,0,0,"Explore the real-world filming locations of Stargirl, from the vibrant halls of Blue Valley High to the picturesque landscapes of the American Midwest.",151,"Drama; Fantasy; Adventure","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Stargirl, from the vibrant halls of Blue Valley High to the picturesque landscapes of the American Midwest."
series,"Where Was Ted Lasso Filmed?",ted-lasso,https://wherewasitfilmed.co/series/ted-lasso,55,346,Yes,No,0,0,"Explore the real-world filming locations of Ted Lasso, from the fictional AFC Richmond to the charming streets of London.",121,"Comedy; Drama; Sports","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Ted Lasso, from the fictional AFC Richmond to the charming streets of London."
series,"Where Was The Falcon and the Winter Soldier Filmed?",the-falcon-and-the-winter-soldier,https://wherewasitfilmed.co/series/the-falcon-and-the-winter-soldier,55,273,Yes,No,0,0,"Explore the real-world filming locations of The Falcon and the Winter Soldier, from the bustling streets of Brooklyn to the scenic landscapes of Europe.",152,"Action; Adventure; Drama","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of The Falcon and the Winter Soldier, from the bustling streets of Brooklyn to the scenic landscapes of Europe."
series,"Where Was The Mandalorian Filmed?",the-mandalorian,https://wherewasitfilmed.co/series/the-mandalorian,55,246,Yes,No,0,0,"Explore the real-world filming locations of The Mandalorian, from a galaxy far, far away to stunning locations on Earth.",120,"Action; Adventure; Fantasy","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of The Mandalorian, from a galaxy far, far away to stunning locations on Earth."
series,"Where Was The Umbrella Academy Filmed?",the-umbrella-academy,https://wherewasitfilmed.co/series/the-umbrella-academy,55,281,Yes,No,0,0,"Explore the real-world filming locations of The Umbrella Academy, from its unique fictional setting to actual filming locations across Canada.",142,"Action; Adventure; Drama","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of The Umbrella Academy, from its unique fictional setting to actual filming locations across Canada."
series,"Where Was The White Lotus Filmed?",the-white-lotus,https://wherewasitfilmed.co/series/the-white-lotus,55,252,Yes,No,0,0,"Explore the real-world filming locations of The White Lotus, from the luxurious Hawaiian resort to breathtaking landscapes across the islands.",142,"Drama; Comedy; Mystery","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of The White Lotus, from the luxurious Hawaiian resort to breathtaking landscapes across the islands."
series,"Where Was Euphoria Filmed?",euphoria,https://wherewasitfilmed.co/series/euphoria,55,239,Yes,No,0,0,"Explore the real-world filming locations of Euphoria, from the streets of a fictional California high school to the vibrant neighborhoods of Los Angeles.",153,"Drama; Coming-of-Age; Teen","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Euphoria, from the streets of a fictional California high school to the vibrant neighborhoods of Los Angeles."
series,"Where Was The Witcher Filmed?",the-witcher,https://wherewasitfilmed.co/series/the-witcher,55,251,Yes,No,0,0,"Explore the real-world filming locations of The Witcher, from the fantasy realm of The Continent to the stunning landscapes of Central and Eastern Europe.",154,"Fantasy; Action; Adventure","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of The Witcher, from the fantasy realm of The Continent to the stunning landscapes of Central and Eastern Europe."
series,"Where Was Jack Ryan Filmed?",jack-ryan,https://wherewasitfilmed.co/series/jack-ryan,55,226,Yes,No,0,0,"Explore the real-world filming locations of Jack Ryan, from the intense geopolitical settings to actual filming spots around the globe.",135,"Action; Drama; Thriller","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Jack Ryan, from the intense geopolitical settings to actual filming spots around the globe."
series,"Where Was Manifest Filmed?",manifest,https://wherewasitfilmed.co/series/manifest,55,244,Yes,No,0,0,"Explore the real-world filming locations of Manifest, from the mysterious skies of Flight 828 to the stunning landscapes of New York.",133,"Drama; Mystery; Fantasy","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Manifest, from the mysterious skies of Flight 828 to the stunning landscapes of New York."
series,"Where Was Narcos: Mexico Filmed?",narcos-mexico,https://wherewasitfilmed.co/series/narcos-mexico,55,246,Yes,No,0,0,"Explore the real-world filming locations of Narcos: Mexico, from the gritty streets of Mexico City to the stunning landscapes of Baja California.",145,"Crime; Drama; Biography","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Narcos: Mexico, from the gritty streets of Mexico City to the stunning landscapes of Baja California."
series,"Where Was Succession Filmed?",succession,https://wherewasitfilmed.co/series/succession,55,249,Yes,No,0,0,"Explore the real-world filming locations of Succession, from the opulent world of corporate America to the stunning landscapes of New York.",139,"Drama; Comedy; Thriller","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Succession, from the opulent world of corporate America to the stunning landscapes of New York."
series,"Where Was Yellowstone Filmed?",yellowstone,https://wherewasitfilmed.co/series/yellowstone,55,267,Yes,No,0,0,"Explore the real-world filming locations of Yellowstone, from the breathtaking Dutton Ranch to the stunning Montana landscapes.",127,"Drama; Western; Thriller","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Yellowstone, from the breathtaking Dutton Ranch to the stunning Montana landscapes."
series,"Where Was Iron Fist Filmed?",iron-fist,https://wherewasitfilmed.co/series/iron-fist,55,343,Yes,No,0,0,"Explore the real-world filming locations of Iron Fist, from the mystical streets of K'un-Lun to the vibrant culture of New York City.",133,"Action; Adventure; Drama","","","",2025-05-24T19:54:10.634Z,"Explore the real-world filming locations of Iron Fist, from the mystical streets of K'un-Lun to the vibrant culture of New York City."
series,"Where Was Ozark Filmed?",ozark,https://wherewasitfilmed.co/series/ozark,55,270,Yes,No,0,0,"Explore the real-world filming locations of Ozark, from the fictional Ozarks to the actual filming locations across the Midwest.",128,"Drama; Thriller; Crime","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Ozark, from the fictional Ozarks to the actual filming locations across the Midwest."
series,"Where Was Riverdale Filmed?",riverdale,https://wherewasitfilmed.co/series/riverdale,55,274,Yes,No,0,0,"Explore the real-world filming locations of Riverdale, from the fictional town of Riverdale to its stunning actual filming locations.",133,"Drama; Mystery; Thriller","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Riverdale, from the fictional town of Riverdale to its stunning actual filming locations."
series,"Where Was Lucifer Filmed?",lucifer,https://wherewasitfilmed.co/series/lucifer,55,269,Yes,No,0,0,"Explore the real-world filming locations of Lucifer, from the City of Angels to the iconic spots that brought the show to life.",127,"Fantasy; Crime; Drama","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Lucifer, from the City of Angels to the iconic spots that brought the show to life."
series,"Where Was The Good Place Filmed?",the-good-place,https://wherewasitfilmed.co/series/the-good-place,55,254,Yes,No,0,0,"Explore the real-world filming locations of The Good Place, from the afterlife to the actual filming locations in Southern California.",134,"Comedy; Fantasy; Drama","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of The Good Place, from the afterlife to the actual filming locations in Southern California."
series,"Where Was Agent Carter Filmed?",agent-carter,https://wherewasitfilmed.co/series/agent-carter,55,261,Yes,No,0,0,"Explore the real-world filming locations of Agent Carter, from the thrilling world of espionage to iconic streets of Los Angeles.",129,"Action; Adventure; Drama","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Agent Carter, from the thrilling world of espionage to iconic streets of Los Angeles."
series,"Where Was Jessica Jones Filmed?",jessica-jones,https://wherewasitfilmed.co/series/jessica-jones,55,231,Yes,No,0,0,"Explore the real-world filming locations of Jessica Jones, from Hell's Kitchen to various iconic spots in New York City.",120,"Action; Drama; Superhero","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Jessica Jones, from Hell's Kitchen to various iconic spots in New York City."
series,"Where Was Gotham Filmed?",gotham,https://wherewasitfilmed.co/series/gotham,55,340,Yes,No,0,0,"Explore the real-world filming locations of Gotham, from the streets of a fictional Gotham City to the actual filming locations that brought it to life.",152,"Action; Crime; Drama","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Gotham, from the streets of a fictional Gotham City to the actual filming locations that brought it to life."
series,"Where Was Peaky Blinders Filmed?",peaky-blinders,https://wherewasitfilmed.co/series/peaky-blinders,55,265,Yes,No,0,0,"Explore the real-world filming locations of Peaky Blinders, from the streets of Birmingham to the moors of the English countryside.",131,"Drama; Crime; Historical","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Peaky Blinders, from the streets of Birmingham to the moors of the English countryside."
series,"Where Was The Originals Filmed?",the-originals,https://wherewasitfilmed.co/series/the-originals,55,354,Yes,No,0,0,"Explore the real-world filming locations of The Originals, from New Orleans to various breathtaking sites across Louisiana.",123,"Drama; Fantasy; Horror","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of The Originals, from New Orleans to various breathtaking sites across Louisiana."
series,"Where Was Game of Thrones Filmed?",game-of-thrones,https://wherewasitfilmed.co/series/game-of-thrones,55,247,Yes,No,0,0,"Explore the real-world filming locations of Game of Thrones, from the icy realms of Winterfell to the sun-soaked streets of Dubrovnik.",134,"Fantasy; Drama; Adventure","","","",2025-05-24T19:54:10.635Z,"Explore the real-world filming locations of Game of Thrones, from the icy realms of Winterfell to the sun-soaked streets of Dubrovnik."
